ActionType,ActionParameters,duration,,,,,,
GetDetail,Employee Record 8,2,,,,,,
GetDetail,Employee Record 9,4,,,,,,
GetDetail,Employee Record 10,4,,,,,,
GetDetail,Employee Record 11,2,,,,,,
GetDetail,Employee Record 12,6,,,,,,
GetDetail,Employee Record 13,3,,,,,,
GetDetail,Employee Record 14,12,,,,,,
GetDetail,Article 56,31,,,,,,
GetDetail,Article 227,88,,,,,,
GetDetail,Article 279,38,,,,,,
GetDetail,Article 59,22,,,,,,
GetDetail,Article 121,6,,,,,,
GetDetail,Article 406,35,,,,,,
GetDetail,Article 265,12,,,,,,
EditNotes,VAST5KP_revision_4_June_19_10:22_AM.patch,149,,,,,,
GetDetail,Article 121,26,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,111,,,,,,
EditNotes,VAST5KP_revision_7_June_19_10:27_AM.patch,63,,,,,,
GetDetail,Article 45,36,,,,,,
GetDetail,Article 45,7,,,,,,
GetDetail,Article 344,52,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 1,4,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
GetDetail,Article 386,69,,,,,,
GetDetail,Article 284,77,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Birth from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Birth from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 11,4,,,,,,
GetDetail,Employee Record 12,10,,,,,,
Search,Birth from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,BirthCountry from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,BirthCountry from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 5,33,,,,,,
GetDetail,Employee Record 7,4,,,,,,
GetDetail,Employee Record 27,2,,,,,,
GetDetail,Employee Record 28,5,,,,,,
Search,elodis from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,abila from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,elodis from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,elodis from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 0,30,,,,,,
GetDetail,Article 236,14,,,,,,
Search,Elodis from 1982-01-01 to 2015-01-01 page 1,15,,,,,,
GetDetail,Article 40,26,,,,,,
Search,karel from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,karel from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,karel from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,karel from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,karel from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Elian from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Elian from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,Elian from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,He from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,He from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,He from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 33,39,,,,,,
GetDetail,Employee Record 48,15,,,,,,
GetDetail,Employee Record 44,3,,,,,,
GetDetail,Employee Record 40,3,,,,,,
GetDetail,Employee Record 33,37,,,,,,
Search,van from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,van from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,van from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,TO BECOME INVOLVED FOR ABOVE OF EVENTS IN GASTECH from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,TO BECOME INVOLVED FOR ABOVE OF EVENTS IN GASTECH from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 213,57,,,,,,
Search,protectorsTECH from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 81,12,,,,,,
GetDetail,Article 63,52,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,28,,,,,,
Search,protectors from 1982-01-01 to 2015-01-01 page 0,37,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,military from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,service from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,service from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,service from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
Search,minke from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,mil from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,mil from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
Search,mie from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,mie from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,mies from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,min from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,min from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,osl from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,osl from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,osv from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,osv from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,osv from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Kanon.Herrero from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Kanon.Herrero from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 44,18,,,,,,
Search,Minke.Mies from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Minke.Mies from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Minke.Mies from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Hennie.Osvaldo from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Hennie.Osvaldo from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Hennie.Osvaldo from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Varja.Lagos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Varja.Lagos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 45,14,,,,,,
Search,Kanon.Herrero from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Kanon.Herrero from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Minke.Mies@gastech.com from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Minke.Mies@gastech.com from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Hennie.Osvaldo from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Hennie.Osvaldo from 1982-01-01 to 2015-01-01 page 0,20,,,,,,
Search,Edvard Vann from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,truck from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 2,2,,,,,,
GetDetail,Employee Record 3,6,,,,,,
Search,Job from 1982-01-01 to 2015-01-01 page 0,22,,,,,,
Search,tr from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,tr from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 49,7,,,,,,
GetDetail,Employee Record 50,7,,,,,,
GetDetail,Employee Record 52,10,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
GetDetail,Employee Record 35,5,,,,,,
GetDetail,Employee Record 33,34,,,,,,
Search,Minke.Mies@gastech.com. from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Minke.Mies@gastech.com. from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,van from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,van from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,miles from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,mile from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,mile from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,hink from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,36,,,,,,
GetDetail,Employee Record 33,173,,,,,,
Search,security from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,security from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,security from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,security from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,28,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Security from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,Security from 1982-01-01 to 2015-01-01 page 0,40,,,,,,
Search,Varja.Lagos@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Varja.Lagos@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
EditNotes,VAST5KP_revision_10_June_19_10:56_AM.patch,192,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Loreto.Bodrogi@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Loreto.Bodrogi@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,38,,,,,,
EditNotes,VAST5KP_revision_15_June_19_11:00_AM.patch,26,,,,,,
Search,Hennie.Osvaldo@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Hennie.Osvaldo@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 48,32,,,,,,
EditNotes,VAST5KP_revision_17_June_19_11:01_AM.patch,2,,,,,,
Search,"Varja.Lagos@gastech.com.kronos, from 1982-01-01 to 2015-01-01 page 0",2,,,,,,
Search,Varja.Lagos@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Varja.Lagos@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Inga.Ferro@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Inga.Ferro@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 54,26,,,,,,
Search,Kanon.Herrero@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Kanon.Herrero@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
EditNotes,VAST5KP_revision_18_June_19_11:02_AM.patch,5,,,,,,
Search,Hideki.Cocinaro@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Hideki.Cocinaro@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,53,,,,,,
EditNotes,VAST5KP_revision_20_June_19_11:03_AM.patch,6,,,,,,
Search,Hennie.Osvaldo@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Hennie.Osvaldo@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 48,26,,,,,,
Search,Loreto.Bodrogi@g from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Loreto.Bodrogi@g from 1982-01-01 to 2015-01-01 page 0,23,,,,,,
EditNotes,VAST5KP_revision_21_June_19_11:04_AM.patch,15,,,,,,
Search,nga.Ferro@gastech.co from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,nga.Ferro@gastech.co from 1982-01-01 to 2015-01-01 page 0,23,,,,,,
Search,Minke.Mies@gastec from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Minke.Mies@gastec from 1982-01-01 to 2015-01-01 page 0,17,,,,,,
EditNotes,VAST5KP_revision_23_June_19_11:05_AM.patch,0,,,,,,
Search,elodis from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,os from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,os from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
Search,m from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,mies from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
GetDetail,Article 227,91,,,,,,
GetDetail,Article 227,7,,,,,,
GetDetail,Article 56,20,,,,,,
GetDetail,Article 279,58,,,,,,
Search,The Truth from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,The Truth from 1982-01-01 to 2015-01-01 page 0,48,,,,,,
GetDetail,Article 375,43,,,,,,
GetDetail,Article 410,44,,,,,,
GetDetail,Article 251,41,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 49,4,,,,,,
GetDetail,Employee Record 50,2,,,,,,
GetDetail,Employee Record 49,2,,,,,,
GetDetail,Employee Record 50,2,,,,,,
GetDetail,Employee Record 49,2,,,,,,
EditNotes,VAST5KP_revision_25_June_19_11:16_AM.patch,86,,,,,,
GetDetail,Employee Record 50,22,,,,,,
Search,the truth from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,The Truth from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,The Truth from 1982-01-01 to 2015-01-01 page 0,61,,,,,,
EditNotes,VAST5KP_revision_28_June_19_11:19_AM.patch,99,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 49,14,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,71,,,,,,
GetDetail,Employee Record 49,7,,,,,,
GetDetail,Employee Record 50,3,,,,,,
GetDetail,Employee Record 49,2,,,,,,
GetDetail,Employee Record 50,4,,,,,,
GetDetail,Employee Record 49,4,,,,,,
GetDetail,Employee Record 50,6,,,,,,
GetDetail,Article 265,65,,,,,,
EditNotes,VAST5KP_revision_31_June_19_11:24_AM.patch,29,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
EditNotes,VAST5KP_revision_32_June_19_11:25_AM.patch,6,,,,,,
Search,TO BECOME INVOLVED FOR ABOVE OF EVENTS IN GASTECH from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,TO BECOME INVOLVED FOR ABOVE OF EVENTS IN GASTECH from 1982-01-01 to 2015-01-01 page 0,58,,,,,,
Search,TO BECOME INVOLVED FOR ABOVE OF EVENTS IN GASTECH from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Article 446,21,,,,,,
GetDetail,Article 124,194,,,,,,
EditNotes,VAST5KP_revision_33_June_19_11:30_AM.patch,126,,,,,,
GetDetail,Article 124,2,,,,,,
GetDetail,Article 446,13,,,,,,
GetDetail,Article 63,12,,,,,,
GetDetail,Article 63,4,,,,,,
GetDetail,Article 213,10,,,,,,
GetDetail,Article 267,13,,,,,,
EditNotes,VAST5KP_revision_36_June_19_11:33_AM.patch,123,,,,,,
GetDetail,Article 442,25,,,,,,
GetDetail,Article 133,32,,,,,,
EditNotes,VAST5KP_revision_39_June_19_11:36_AM.patch,3,,,,,,
GetDetail,Article 253,17,,,,,,
GetDetail,Employee Record 49,100,,,,,,
EditNotes,VAST5KP_revision_40_June_19_11:38_AM.patch,179,,,,,,
GetDetail,Resume-IsiaVann.pdf,56,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
Search,Isia.Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia.Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Isia.Vann from 1982-01-01 to 2015-01-01 page 0,23,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,isia from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
GetDetail,Employee Record 49,10,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,109,,,,,,
Search,Rachel.Pantanal@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Rachel.Pantanal@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 3,0,,,,,,
Search,Mestache Vardshvna  from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Mestache Vardshvna from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Mestache Vardshvna from 1982-01-01 to 2015-01-01 page 0,42,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
GetDetail,Employee Record 50,4,,,,,,
GetDetail,Employee Record 49,10,,,,,,
GetDetail,Resume-IsiaVann.pdf,82,,,,,,
GetDetail,Employee Record 49,13,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
EditNotes,VAST5KP_revision_44_June_19_11:57_AM.patch,60,,,,,,
EditNotes,VAST5KP_revision_45_June_19_11:58_AM.patch,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 48,221,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,51,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,141,,,,,,
Search,Kapelou from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Kapelou from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Kapelou from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Kapelou from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 121,16,,,,,,
GetDetail,Article 121,20,,,,,,
GetDetail,Article 99,62,,,,,,
GetDetail,Article 375,28,,,,,,
GetDetail,Article 128,98,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Karel from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
GetDetail,Article 121,19,,,,,,
GetDetail,Article 265,2,,,,,,
GetDetail,Article 121,40,,,,,,
Search,Henk from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Henk from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 33,196,,,,,,
EditNotes,VAST5KP_revision_46_June_20_8:33_AM.patch,95,,,,,,
Search,Va from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,20,,,,,,
EditNotes,VAST5KP_revision_47_June_20_8:35_AM.patch,480,,,,,,
EditNotes,VAST5KP_revision_57_June_20_8:43_AM.patch,0,,,,,,
EditNotes,VAST5KP_revision_58_June_20_9:02_AM.patch,24,,,,,,
GetDetail,Article 265,36,,,,,,
EditNotes,VAST5KP_revision_59_June_20_9:03_AM.patch,88,,,,,,
GetDetail,Employee Record 49,2,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,17,,,,,,
EditNotes,VAST5KP_revision_61_June_20_9:05_AM.patch,180,,,,,,
EditNotes,VAST5KP_revision_66_June_20_9:08_AM.patch,0,,,,,,
EditNotes,VAST5KP_revision_67_June_20_9:16_AM.patch,293,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,102,,,,,,
Search,Pantanal from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Pantanal from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 3,8,,,,,,
GetDetail,Resume-RachelPantanal.pdf,44,,,,,,
Search,CIO from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,CIO from 1982-01-01 to 2015-01-01 page 0,80,,,,,,
EditNotes,VAST5KP_revision_73_June_20_9:25_AM.patch,16,,,,,,
Search,pantanal from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Pantanal from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Pantanal from 1982-01-01 to 2015-01-01 page 0,97,,,,,,
EditNotes,VAST5KP_revision_75_June_20_9:27_AM.patch,0,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,48,,,,,,
Search,Hennie.Osvaldo@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Hennie.Osvaldo@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 48,27,,,,,,
Search,Hennie.Osvaldo@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,mil from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,mie from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,mil from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,31,,,,,,
Search,Truck from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Truck from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
GetDetail,Employee Record 33,10,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 33,4,,,,,,
GetDetail,Employee Record 47,3,,,,,,
GetDetail,Employee Record 33,5,,,,,,
GetDetail,Employee Record 33,6,,,,,,
GetDetail,Employee Record 47,2,,,,,,
GetDetail,Employee Record 33,7,,,,,,
GetDetail,Resume-MinkeMies.pdf,88,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,43,,,,,,
GetDetail,Resume-MinkeMies.pdf,6,,,,,,
GetDetail,Employee Record 5,10,,,,,,
GetDetail,Employee Record 33,3,,,,,,
GetDetail,Employee Record 5,2,,,,,,
GetDetail,Employee Record 33,5,,,,,,
GetDetail,Employee Record 47,6,,,,,,
GetDetail,Employee Record 33,5,,,,,,
GetDetail,Employee Record 47,54,,,,,,
GetDetail,Employee Record 33,153,,,,,,
EditNotes,VAST5KP_revision_76_June_20_9:42_AM.patch,61,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
