ActionParameters,duration,ParameterCode
Article 412,13,
Article 354,0,
Article 263,1,
Article 87,129,
Article 87,2,
Article 87,41,
Article 63,8,
Article 116,51,
Article 377,50,
Article 401,48,
Article 377,22,
Article 343,120,
Article 406,20,
Article 121,10,
Article 265,0,
Article 437,83,
Article 228,0,
Article 406,19,
Article 227,0,
Article 56,28,
Article 279,37,
Article 59,48,
Article 99,81,
Article 162,35,
Article 408,24,
Article 27,18,
Article 340,10,
Article 430,29,
Article 175,32,
Article 258,5,
Article 87,26,
Article 382,5,
Article 87,8,
Article 340,5,
Article 430,12,
Article 27,9,
Article 340,9,
Article 406,23,
Article 121,14,
Article 265,24,
Article 279,12,
Article 162,18,
Article 408,11,
Article 306,9,
Article 322,12,
Article 454,4,
Article 152,8,
Article 50,6,
Article 423,9,
Article 3,4,
Article 86,36,
Article 105,34,
Article 105,3,
Article 86,8,
Article 210,32,
Article 256,19,
Article 95,90,
Article 81,103,
Article 40,68,
Article 452,12,
Article 148,8,
Article 163,14,
Article 40,73,
Article 265,21,
Article 124,23,
Article 446,9,
Article 213,13,
Article 267,9,
Article 112,46,
Article 79,14,
Article 449,0,
Article 265,19,
Article 336,191,
Article 90,8,
Article 35,12,
Article 54,10,
Article 60,5,
Article 68,44,
Article 68,3,
Article 88,9,
Article 102,50,
Article 132,28,
Article 135,28,
Article 260,41,
Article 139,19,
Article 150,24,
Article 150,3,
Article 443,29,
Article 443,4,
Article 393,31,
Article 393,3,
Article 422,34,
Article 393,5,
Article 422,3,
Article 195,77,
Article 195,1,
Article 219,19,
Article 219,2,
Article 291,6,
Article 314,22,
Article 314,2,
Article 371,20,
Article 1,18,
Article 1,4,
Article 1,3,
Article 66,23,
Article 227,17,
Article 56,15,
Article 279,8,
Article 59,15,
Article 99,6,
Article 162,9,
Article 408,8,
Article 408,10,
Article 27,42,
Article 340,14,
Article 430,53,
Article 430,8,
Article 306,7,
Article 340,2,
Article 430,2,
Article 166,42,
Article 133,48,
Article 133,3,
Article 133,5,
Article 157,34,
Article 157,2,
Article 175,23,
Article 15,31,
Article 220,7,
Article 258,31,
Article 258,3,
Article 250,47,
Article 250,3,
Article 404,32,
Article 258,2,
Article 250,3,
Article 404,2,
Article 337,13,
Article 337,2,
Article 360,26,
Article 337,3,
Article 360,3,
Article 41,20,
Article 360,2,
Article 41,3,
Article 74,16,
Article 358,54,
Article 358,2,
Article 66,2,
Article 358,0,
Article 121,35,
Article 265,8,
Article 227,0,
Article 40,21,
Article 452,9,
Article 148,174,
Article 201,6,
Article 163,0,
Article 328,14,
Article 316,11,
Article 310,18,
Article 451,4,
Article 361,9,
Article 280,26,
Article 110,31,
Article 103,27,
Article 240,24,
Article 336,12,
Article 8,8,
Article 324,0,
Article 406,57,
Article 121,9,
Article 265,24,
Article 162,12,
Article 162,4,
Article 227,1,
Article 408,9,
Article 227,3,
Article 408,1,
Article 81,38,
Article 27,4,
Article 50,11,
Article 3,13,
Article 86,47,
Article 86,2,
Article 221,21,
Article 86,15,
Article 221,18,
Article 325,6,
Article 8,17,
Article 457,42,
Article 452,78,
Article 307,2,
Article 179,35,
Article 40,4,
Article 452,6,
Article 148,24,
Article 201,4,
Article 163,5,
Article 347,5,
Article 452,7,
Article 146,14,
Article 239,12,
Article 163,3,
Article 347,13,
Article 86,12,
Article 3,43,
Article 162,5,
Article 86,11,
Article 282,5,
Article 282,2,
Article 78,4,
Article 221,5,
Article 95,3,
Article 108,23,
Article 108,9,
Article 9,3,
Article 165,2,
Article 161,3,
Article 297,9,
Article 217,3,
Article 297,2,
Article 217,5,
Article 183,6,
Article 211,3,
Article 325,9,
Article 86,12,
Article 221,2,
Article 307,9,
Article 278,22,
Article 47,49,
Article 268,10,
Article 86,8,
Article 86,13,
Article 221,5,
Article 86,2,
Article 105,1,
Article 86,32,
Article 105,74,
Article 322,13,
Article 423,25,
Article 3,5,
Article 408,7,
Article 81,7,
Article 56,6,
Article 27,4,
Article 306,5,
Article 86,8,
Article 446,2,
Article 442,2,
Article 133,19,
Article 442,13,
Article 264,26,
Article 446,6,
Article 124,4,
Article 213,19,
Article 253,9,
Article 4,4,
Article 449,17,
Article 265,7,
Article 40,17,
Article 117,18,
Article 251,3,
Article 111,5,
Article 320,17,
Article 421,31,
Article 406,51,
Article 121,3,
Article 227,3,
Article 265,11,
Article 227,8,
Article 56,15,
Article 279,14,
Article 59,15,
Article 99,14,
Article 162,15,
Article 408,89,
Article 27,1,
Article 340,4,
Article 430,7,
Article 340,3,
Article 430,1,
Article 340,2,
Article 430,6,
Article 446,74,
Article 74,13,
Article 430,8,
Article 340,9,
Article 27,5,
Article 430,2,
Article 340,2,
Article 442,6,
Article 227,7,
Article 56,4,
Article 279,21,
Article 228,2,
Article 406,2,
Article 56,11,
Article 56,1,
Article 279,5,
Article 302,12,
Article 457,6,
Article 285,23,
Article 16,3,
Article 397,2,
Article 349,1,
Article 107,2,
Article 407,2,
Article 134,10,
Article 134,194,
Article 121,1,
Article 121,9,
Article 227,17,
Article 265,6,
Article 59,8,
Article 99,183,
Article 320,100,
Article 265,49,
Article 265,1,
Article 308,10,
Article 19,43,
Article 47,106,
Article 233,26,
Article 430,1,
Article 442,3,
Article 250,2,
Article 53,2,
Article 134,5,
Article 249,53,
Article 302,16,
Article 358,2,
Article 337,4,
Article 404,14,
Article 358,2,
Article 337,1,
Article 404,3,
Article 404,1,
Article 250,2,
Article 258,2,
Article 220,1,
Article 15,4,
Article 175,2,
Article 157,1,
Article 133,2,
Article 166,2,
Article 430,14,
Article 166,2,
Article 74,1,
Article 41,3,
Article 41,2,
Article 74,1,
Article 74,10,
Article 360,15,
Article 360,2,
Article 358,3,
Article 360,2,
Article 358,3,
Article 358,3,
Article 337,26,
Article 337,1,
Article 337,3,
Article 404,9,
Article 404,2,
Article 250,3,
Article 250,2,
Article 258,8,
Article 258,2,
Article 220,8,
Article 15,14,
Article 220,2,
Article 15,4,
Article 15,1,
Article 175,10,
Article 157,2,
Article 157,6,
Article 157,2,
Article 133,40,
Article 157,2,
Article 133,4,
Article 166,10,
Article 166,2,
Article 430,41,
Article 340,2,
Article 27,4,
Article 430,17,
Article 430,1,
Article 430,1,
Article 166,2,
Article 27,2,
Article 166,11,
Article 27,38,
Article 105,22,
Article 86,6,
Article 282,9,
Article 282,3,
Article 78,10,
Article 221,13,
Article 221,1,
Article 95,3,
Article 108,32,
Article 336,5,
Article 280,9,
Article 451,29,
Article 12,27,
Article 280,18,
Article 110,25,
Article 406,18,
Article 121,7,
Article 406,8,
Article 121,3,
Article 265,6,
Article 121,2,
Article 59,3,
Article 279,1,
Article 56,2,
Article 56,3,
Article 227,3,
Article 265,3,
Article 121,4,
Article 406,26,
Article 265,1,
Article 227,4,
Article 265,2,
Article 124,36,
Article 63,9,
Article 240,78,
Article 336,64,
Article 336,5,
Article 127,161,
Article 67,26,
Article 67,1,
Article 67,2,
Article 382,4,
Article 87,3,
Article 168,22,
Article 168,3,
Article 193,53,
Article 358,15,
Article 358,2,
Article 63,8,
Article 446,121,
Article 360,100,
Article 265,10,
Article 227,3,
Article 265,25,
Article 87,14,
Article 63,218,
Article 210,10,
Article 426,20,
Article 412,8,
Article 426,2,
Article 232,6,
Article 211,9,
Article 211,3,
Article 221,6,
Article 221,2,
Article 443,13,
Article 443,3,
Article 139,5,
Article 139,1,
Article 443,2,
Article 139,3,
Article 139,1,
Article 362,2,
Article 139,1,
Article 387,24,
Article 139,4,
Article 79,71,
Article 423,1,
Article 423,1,
Article 79,4,
Article 182,3,
Article 150,3,
Article 102,0,
Article 401,12,
Article 377,4,
Article 343,6,
Article 401,1,
Article 343,75,
Article 43,7,
Article 419,1,
Article 259,3,
Article 387,2,
Article 387,0,
Article 159,9,
Article 331,7,
Article 438,12,
Article 438,1,
Article 359,13,
Article 359,2,
Article 309,10,
Article 416,14,
Article 83,4,
Article 268,9,
Article 268,1,
Article 19,24,
Article 363,24,
Article 140,6,
Article 437,18,
Article 227,36,
Article 227,3,
Article 408,0,
Article 99,120,
Article 279,83,
Article 406,128,
Article 430,31,
Article 63,97,
Article 213,39,
Article 419,96,
Article 15,8,
Article 442,36,
Article 15,3,
Article 15,3,
Article 15,4,
Article 358,8,
Article 250,59,
Article 267,58,
Article 423,18,
Article 50,10,
Article 454,11,
Article 3,13,
Article 86,84,
Article 454,5,
Article 152,195,
Article 86,72,
Article 175,11,
Article 166,11,
Article 164,61,
Article 165,0,
Article 227,288,
Article 265,169,
Article 121,123,
Article 406,210,
Article 260,60,
Article 72,27,
Article 72,155,
Article 408,99,
Article 446,2,
Article 124,3,
Article 63,5,
Article 260,5,
Article 72,20,
Article 325,6,
Article 233,10,
Article 262,7,
Article 47,10,
Article 367,5,
Article 432,5,
Article 167,6,
Article 374,9,
Article 285,13,
Article 238,34,
Article 307,94,
Article 452,18,
Article 457,30,
Article 8,17,
Article 72,16,
Article 221,33,
Article 72,2,
Article 221,3,
Article 217,19,
Article 217,5,
Article 325,19,
Article 211,26,
Article 183,29,
Article 183,3,
Article 217,6,
Article 183,3,
Article 297,30,
Article 297,2,
Article 297,2,
Article 161,5,
Article 165,20,
Article 165,2,
Article 9,19,
Article 9,3,
Article 108,1,
Article 108,1,
Article 108,2,
Article 95,9,
Article 95,3,
Article 221,11,
Article 78,36,
Article 78,4,
Article 282,13,
Article 86,36,
Article 86,4,
Article 105,113,
Article 86,24,
Article 105,32,
Article 86,43,
Article 406,0,
Article 406,50,
Article 430,32,
Article 423,84,
Article 423,1,
Article 279,36,
Article 267,42,
Article 302,8,
Article 265,22,
Article 265,23,
Article 94,79,
Article 45,15,
Article 213,38,
Article 344,9,
Article 383,10,
Article 56,3,
Article 279,14,
Article 222,33,
Article 228,8,
Article 143,63,
Article 312,6,
Article 337,5,
Article 121,46,
Article 369,51,
Article 251,11,
Article 436,10,
Article 308,23,
Article 167,35,
Article 47,25,
Article 269,30,
Article 269,7,
Article 40,27,
Article 146,40,
Article 265,31,
Article 254,32,
Article 396,45,
Article 432,18,
Article 25,5,
Article 26,165,
Article 419,23,
Article 213,66,
Article 193,12,
Article 193,2,
Article 223,6,
Article 196,10,
Article 190,9,
Article 8,18,
Article 128,31,
Article 87,34,
Article 123,69,
Article 129,7,
Article 362,3,
Article 123,2,
Article 210,60,
Article 443,32,
Article 221,30,
Article 211,12,
Article 232,15,
Article 5,6,
Article 426,12,
Article 412,7,
Article 412,3,
Article 141,19,
Article 118,8,
Article 227,45,
Article 56,10,
Article 59,39,
Article 59,4,
Article 99,47,
Article 99,5,
Article 442,77,
Article 41,34,
Article 325,12,
Article 325,2,
Article 72,24,
Article 412,19,
Article 426,14,
Article 227,15,
Article 56,14,
Article 40,85,
Article 430,4,
Article 74,3,
Article 41,3,
Article 340,11,
Article 133,2,
Article 157,2,
Article 175,3,
Article 15,5,
Article 220,2,
Article 15,7,
Article 258,3,
Article 250,5,
Article 404,4,
Article 337,2,
Article 358,8,
Article 41,2,
Article 74,2,
Article 256,5,
Article 2,18,
Article 71,22,
Article 19,36,
Article 269,46,
Article 47,31,
Article 157,5,
Article 41,11,
Article 400,14,
Article 387,7,
Article 387,2,
Article 387,2,
Article 362,5,
Article 139,48,
Article 157,5,
Article 133,2,
Article 166,11,
Article 133,42,
Article 41,10,
Article 41,2,
Article 358,9,
Article 423,4,
Article 3,4,
Article 213,2,
Article 442,63,
Article 406,7,
Article 68,13,
Article 68,2,
Article 219,9,
Article 358,5,
Article 127,9,
Article 241,7,
Article 87,16,
Article 168,75,
Article 155,13,
Article 112,4,
Article 80,24,
Article 112,1,
Article 112,2,
Article 80,2,
Article 155,3,
Article 153,13,
Article 115,12,
Article 294,23,
Article 294,2,
Article 129,10,
Article 322,5,
Article 213,10,
Article 446,5,
Article 81,15,
Article 442,5,
Article 164,18,
Article 198,7,
Article 332,1,
Article 400,13,
Article 97,6,
Article 378,5,
Article 441,7,
Article 116,49,
Article 195,5,
Article 165,9,
Article 95,9,
Article 221,3,
Article 183,16,
Article 108,4,
Article 211,6,
Article 4,4,
Article 1,22,
Article 422,9,
Article 314,11,
Article 68,38,
Article 35,5,
Article 135,7,
Article 371,11,
Article 35,5,
Article 54,9,
Article 60,4,
Article 68,3,
Article 88,10,
Article 102,6,
Article 132,2,
Article 135,2,
Article 260,6,
Article 139,9,
Article 150,5,
Article 195,11,
Article 195,2,
Article 291,3,
Article 314,13,
Article 371,6,
Article 393,4,
Article 422,2,
Article 443,56,
Article 443,2,
Article 1,3,
Article 1,2,
Article 182,9,
Article 454,4,
Article 105,49,
Article 105,4,
Article 105,3,
Article 105,1,
Article 454,2,
Article 86,19,
Article 210,7,
Article 256,6,
Article 210,2,
Article 256,2,
Article 250,7,
Article 358,9,
Article 193,7,
Article 358,5,
Article 343,15,
Article 401,20,
Article 40,25,
Article 99,28,
Article 423,24,
Article 68,16,
Article 245,35,
Article 241,19,
Article 139,4,
Article 412,1,
Article 426,14,
Article 426,14,
Article 426,5,
Article 426,3,
Article 406,24,
Article 363,45,
Article 194,8,
Article 169,13,
Article 360,19,
Article 317,6,
Article 54,6,
Article 149,19,
Article 395,19,
Article 112,103,
Article 253,68,
Article 198,23,
Article 198,18,
Article 164,46,
Article 302,100,
Article 133,67,
Article 267,64,
Article 81,140,
Article 86,38,
Article 3,16,
Article 50,13,
Article 27,9,
Article 408,82,
Article 162,32,
Article 227,165,
Article 406,287,
Article 121,3,
Article 121,1,
Article 121,53,
Article 265,91,
Article 227,206,
Article 56,55,
Article 279,73,
Article 59,50,
Article 99,199,
Article 162,67,
Article 408,95,
Article 27,13,
Article 340,10,
Article 430,60,
Article 306,18,
Article 322,27,
Article 454,19,
Article 423,26,
Article 3,0,
Article 86,61,
Article 105,151,
Article 81,160,
Article 446,93,
Article 124,99,
Article 63,37,
Article 267,72,
Article 442,22,
Article 15,17,
Article 358,54,
Article 250,60,
Article 133,256,
Article 406,0,
Article 121,103,
Article 265,145,
Article 227,281,
Article 56,11,
Article 279,38,
Article 59,0,
Article 99,41,
Article 162,52,
Article 408,268,
Article 27,4,
Article 340,3,
Article 430,16,
Article 306,12,
Article 322,8,
Article 454,4,
Article 423,159,
Article 3,0,
Article 423,13,
Article 3,23,
Article 86,41,
Article 105,31,
Article 81,0,
Article 406,254,
Article 265,19,
Article 56,61,
Article 227,39,
Article 406,41,
Article 121,0,
Article 210,3,
Article 446,50,
Article 391,52,
Article 89,0,
